task1	task2	thisN	thisTrialN	thisRepN	T0	T2	T1	lagT0	lagT1	lagT2	responseT1	responseT2	related	dist	key_resp_T1.keys	key_resp_T1.corr	key_resp_T2.keys	key_resp_T2.corr	key_resp_T2.rt	key_resp_T2.duration	press_to_continue.keys	press_to_continue.rt	press_to_continue.duration	key_resp_T1.rt	key_resp_T1.duration	block.thisRepN	block.thisTrialN	block.thisN	block.thisIndex	trial.thisRepN	trial.thisTrialN	trial.thisN	trial.thisIndex	trials_T0_context.thisRepN	trials_T0_context.thisTrialN	trials_T0_context.thisN	trials_T0_context.thisIndex	trials_T1.thisRepN	trials_T1.thisTrialN	trials_T1.thisN	trials_T1.thisIndex	trials_T2.thisRepN	trials_T2.thisTrialN	trials_T2.thisN	trials_T2.thisIndex	thisRow.t	notes	instructions.started	text_instructions.started	key_resp.started	instructions.stopped	key_resp.keys	key_resp.rt	key_resp.duration	settings.started	settings.stopped	T0_context.started	context_word.started	blankContext.started	context_word.stopped	blankContext.stopped	T0_context.stopped	distractors_T0_T2.started	distractors_T0_T2.stopped	text_distractors_2.started	T1_number.started	text_T1.started	T1_number.stopped	distractors_T1.started	distractors_T1.stopped	T2_probe.started	text_T2.started	T2_probe.stopped	Ask_T1.started	Ask_T1.stopped	trial.key_resp_T1.keys	trial.key_resp_T1.corr	Ask_T2.started	blankT2_1.started	blankT2_1.stopped	text_T2ask.started	key_resp_T2.started	Ask_T2.stopped	trial.key_resp_T2.keys	trial.key_resp_T2.corr	trial.key_resp_T2.rt	trial.key_resp_T2.duration	text_distractors.started	text_distractors_2.stopped	text_T2.stopped	rest.started	text.started	press_to_continue.started	text.stopped	rest.stopped	block.press_to_continue.keys	block.press_to_continue.rt	block.press_to_continue.duration	text_T1.stopped	text_distractors.stopped	blankT1_1.started	text_T1ask.started	key_resp_T1.started	blankT1_1.stopped	trial.key_resp_T1.rt	trial.key_resp_T1.duration	participant	order [1: single-dual or 2: dual-single]	date	expName	psychopyVersion	frameRate	expStart	Column1
single	dual	3	3	0	INICIO	XPIESXX	4444444	7	1	12	i	p	0	HLFPYXK												0	0	0	0	0	2	2	2									0	3	3	4	1,77946E+16																	1,77798E+16	1,78612E+15	1,77946E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	4	4	0	INICIO	XPIESXX	4444444	7	1	12	i	p	0	ZTFYDXH												0	0	0	0	0	2	2	2									0	4	4	0	1,78774E+16																	1,78638E+16	1,79447E+15	1,78774E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	5	5	0	INICIO	XPIESXX	4444444	7	1	12	i	p	0	VYKXSPC												0	0	0	0	0	2	2	2									0	5	5	2	1,79615E+16																	1,79469E+16	1,80277E+16	1,79615E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	6	6	0	INICIO	XPIESXX	4444444	7	1	12	i	p	0	ZJTSHFP												0	0	0	0	0	2	2	2									0	6	6	3	1,80443E+16																	1,80298E+16	1,81107E+15	1,80443E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	7	7	0	INICIO	XPIESXX	4444444	7	1	12	i	p	0	YNPLRQW												0	0	0	0	0	2	2	2									0	7	7	7	1,81275E+16																	1,81127E+16	1,81955E+15	1,81275E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	8	8	0	INICIO	XPIESXX	4444444	7	1	12	i	p	0	TJRHKVF												0	0	0	0	0	2	2	2									0	8	8	10	1,8212E+15																	1,81979E+16	1,82778E+15	1,8212E+15																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	9	9	0	INICIO	XPIESXX	4444444	7	1	12	i	p	0	VFDMHQS												0	0	0	0	0	2	2	2									0	9	9	8	1,8295E+16																	1,82798E+15	1,83614E+16	1,8295E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	10	10	0	INICIO	XPIESXX	4444444	7	1	12	i	p	0	GQKRPDL												0	0	0	0	0	2	2	2									0	10	10	5	1,83773E+16																	1,83637E+16	1,84445E+15	1,83773E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	11	11	0	INICIO	XPIESXX	4444444	7	1	12	i	p	0	WFXQGMY												0	0	0	0	0	2	2	2									0	11	11	11	1,8462E+16																	1,84468E+16	1,85294E+16	1,8462E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	2	2	0	INICIO	XPIESXX	4444444	7	1	12	i	p	0		None	0	j	0	3,32122E+15	None						0	0	0	0	0	2	2	2																																									1,85371E+16	1,85372E+15	None	0	1,85372E+15	1,85449E+16	1,95456E+16	1,95456E+16	1,95456E+16	1,98802E+15	j	0	3,32122E+15	None																				Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	0	0	0	REFRÁN	PANTALÓN	0	10	3	7	i	p	0	ZTFYDXH												0	0	0	0	0	3	3	3	0	8	8	3	0	0	0	0					2,28664E+15											1,98853E+14	1,9896E+16	2,08793E+16	2,08969E+16	2,20025E+16	2,18642E+16	2,25505E+16	2,26308E+16	2,25641E+16	2,26519E+16	2,2655E+15	2,27142E+15	2,28581E+16	2,28582E+16																																					Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	1	1	0	REFRÁN	PANTALÓN	0	10	3	7	i	p	0	YGLMSFQ												0	0	0	0	0	3	3	3					0	1	1	1					2,28664E+15																							2,28633E+14	2,28801E+16																		2,28664E+15																			Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	0	0	0	REFRÁN	PANTALÓN	0	10	3	7	i	p	0	GQKRPDL												0	0	0	0	0	3	3	3									0	0	0	5	2,30725E+16																	2,3064E+15	2,30641E+16							2,2899E+15	2,29034E+16	2,29651E+16																																		Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	1	1	0	REFRÁN	PANTALÓN	0	10	3	7	i	p	0	YGLMSFQ												0	0	0	0	0	3	3	3									0	1	1	1	2,30725E+16																	2,30688E+16	2,31319E+16	2,30725E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	2	2	0	REFRÁN	PANTALÓN	0	10	3	7	i	p	0	ZTFYDXH												0	0	0	0	0	3	3	3									0	2	2	0	2,3148E+16																	2,31367E+16	2,32135E+15	2,3148E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	3	3	0	REFRÁN	PANTALÓN	0	10	3	7	i	p	0	WMYFTGJ												0	0	0	0	0	3	3	3									0	3	3	6	2,32306E+16																	2,32161E+16	2,32974E+15	2,32306E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	4	4	0	REFRÁN	PANTALÓN	0	10	3	7	i	p	0	VYKXSPC												0	0	0	0	0	3	3	3									0	4	4	2	2,33135E+16																	2,33022E+15	2,33805E+16	2,33135E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	5	5	0	REFRÁN	PANTALÓN	0	10	3	7	i	p	0	HLFPYXK												0	0	0	0	0	3	3	3									0	5	5	4	2,33974E+16																	2,33834E+16	2,34645E+16	2,33974E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	6	6	0	REFRÁN	PANTALÓN	0	10	3	7	i	p	0	ZJTSHFP												0	0	0	0	0	3	3	3									0	6	6	3	2,34807E+16																	2,34675E+16	2,35476E+15	2,34807E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	3	3	0	REFRÁN	PANTALÓN	0	10	3	7	i	p	0		None	0	j	0	3,18805E+16	None						0	0	0	0	0	3	3	3																																									2,35642E+16	2,35643E+16	None	0	2,35644E+15	2,35673E+16	2,45807E+16	2,45641E+16	2,45641E+16	2,4899E+16	j	0	3,18805E+16	None																				Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	0	0	0	AHORA	XTARTAX	6666666	10	3	7	i	p	0	ZTFYDXH												0	0	0	0	0	4	4	4	0	8	8	3	0	0	0	0					2,79411E+15											2,49015E+16	2,4914E+16	2,59149E+16	2,59149E+16		2,68999E+16	2,75703E+16	2,76493E+15	2,75824E+16	2,7678E+16	2,76815E+15	2,77335E+16	2,79203E+16	2,79204E+16																																					Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	1	1	0	AHORA	XTARTAX	6666666	10	3	7	i	p	0	YGLMSFQ												0	0	0	0	0	4	4	4					0	1	1	1					2,79411E+15																							2,79234E+16	2,79234E+16																																					Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
